Reply,Code
Just shut up and go away. #DEMOCRAPS,1
that's the typical day of a bronx-queens congresswoman? ugh,3
So springtime is apple season in New York. OK.,0
You’re a pedophile lover get out a here,1
You are completely irrelevant at this point. Keep up the good work.,1
Ameriphobic,1
Tas bien,0
Dont call yourself a working person. You're getting rich off the real workers the tax payers.,1
More Comrade aoc TOTAL LIBERAL BULLSH!T!!!!!!!,1
What have you done to reverse your support of protecting sexual predators in congress?,1
"you are joke,are you even real human,you act like a clone",1
Please run for President ❤️,0
"Always full of promises, but no solutions.",0
"When did Glens Falls become part of your district?
How much time do you spend in your district?
When was your last Town Hall in your district?
Future date for a town hall in your district is?
Do you know the lyrics to Bob Dylan's tune, 
You Ain't Going Nowhere?",1
ALL EYES ON RAFA!!!,0
"Why don't you go to the poorer areas where you can see what your policy is doing? O, look how great we are in this rich neighborhood",0
Not a single comment about what happened in NYC yesterday?,0
Pat Ryan is a UC fan? Cool! Hey Alex can you post a video of you jumping up and down?,99
"These people are in outer space. 

They want zombies who ignore what is
going on in the world so you don't notice the Democtas complicity in it.",1
Who cares especially nobody is paying attention of you we got bigger fish to fry and meanwhile you can’t even act your age or you have a IQ keep playing silly donkey,3
AOC supports the terror attack in NY last weekend.,1
We don’t like you,1
Was that before or after the Islamic Jihadist attack in NYC?,1
"2 politicians equal working people? fuck me running. I don't have months of vacation, multi rich from secret sources, lifetime pension, and hundreds of staffers working for me. how about a ham sammich, sweetheart?",3
Wow. You are so phoney.,3
So he's like your boyfriend now? What a slut.,2
Which animal are you ?,3
You should've went down and joined the terr0rists,1
Good thing you avoided Muslims throwing bombs.   New York is turning into a wonderful place.,1
Did you serve them drinks?  You know… the only thing you are qualified to do.,3
Translation: BEND OVER,3
Not a peep out of you attention whores about the Iranian female soccer players who will probably face persecution when they go back home from Australia 🖕,2
AOC always a joke,1
Funny,1
While Muslims throw bombs at crowds of Americans and nypd. Muslims will muslim.,1
"Ok, barkeep",3
"Is this your district, you represent these folks? Or were you looking for some softball prepared questions to answer while you bask in the adoration you apparently thrive on? People are catching on to your grift.",3
Any word on islamists throwing bombs in NYC?  Of course not!,1
"you don’t talk about the prostitution deals being done on every corner in the Bronx you don’t talk about the prostitutes hanging out on every corner, making deals with John’s spreading their disease everywhere do you? You don’t talk about the drugs & the homeless people either",1
"Schmoooozing & naaaying & sneeeezing & wheeeeezing & whoooozing. 
As usual.",3
The power of the working people can conquer anything! 💪,0
What does working people have to do with you?,0
You said it. Middle class has to suffer harder this shut down so they hate Trump. TSA not getting paid most who live in your district during a war with Iran. Great job you POS.,1
Mmm you should reach out to Thomas Massie about releasing more Epstein files and coauthoring legislation to force the CIA and State Dept to drop their documents too.,1
"Hey, please run for president. I know you may not be ready, and I get it. I do. But you are exactly who we need in the White House right now. You are the only clean presidential candidate according to Track AIPAC, and you’ll be bold enough to clean up our Supreme Court, give us better healthcare, tax the wealthy what they deserve, and stop funding weapons for Israel. 

The only way to stop more Trumps is by making peoples’ lives significantly better. You’re the only one bold enough to get it done. We need you! Please run. Give us a chance and we will all rally and campaign for you like our lives depend on it. 

Give us maternity leave, give us a public option for healthcare or Medicare for all. Clean up our air and water! Fight climate change. You are the hero we need",0
Sandy is not very bright folks,99
"Welcome to Kingston, happy to have you.",0
You are clueless.  Shut up,3
A beautiful day as terrorist are throwing bombs in your city. You pathetic socialist.,1
YEAHHHH AFFORDABLE HOUSINGGGGGG HIGHER QUALITY OF LIFE,0
so what.  please pass a voter ID law.  And make me a Margarita.  Thanks,3
HOW ABOUT ADDRESSING THE CORRUPTION HAPPENING IN THE WORKERS COMPENSATION SYSTEM IN NEW YORK??????? CAN AMERICAN CITIZENS GET HELP ALSO???,1
Nobody cares you horsetooth jackass,3
apples ??  you made AMAZON duck out .. you dumb  twat,2
Crime up 50% in ur constituency,1
Did you dodge any IED’s tossed around by Islamic terrorist?,1
You’re an 8. Small/Curly,3
WITH SECURITY OF COURSE-SOOO BEAUTIFUL,99
"Wow what is this,an elementary school campaign?",1
So no bomb throwing Muslim on your path? How nice for you.,1
Your an idiot Alexandria!,3
Nokia2780,0
"@AOC
 WHY can’t you start articles of impeachment?!  What are y’all doing other than checks and balances on Trump???",0
👍👍,0
"The world burns, a maniac is in power, and you're looking at apples and talking. Why is it that no one in your country can stop the madman? The world is watching. We've gone from laughter to anger as your House does nothing. Talk doesn't stop dictators; actions do. Do something.",0
the donkey has spoken.,3
What a load of BS - you’re a partisan pig - STFU and fund DHS before more Americans die at the hands of your terrorist friends!,1
It’s all about the photo op!,99
Tas bien fea Alexandria,3
"No muslims threw bombs at you, did they?",1
Two losers with big mouths,1
Looks like an Islamic supremacy stunt.,1
"Looks like a day full of energy and connection! 🍏 From the Bronx to Kingston and Glens Falls, it really shows the power of working people coming together. Inspiring to see local communities and workers highlighted like this!",0
